feature,coef,odds_ratio,abs_coef
cat__discharge_group_Home,-0.3928892130934546,0.6751035360756237,0.3928892130934546
cat__discharge_group_Transferred,0.3923676691121034,1.4804819388282846,0.3923676691121034
cat__discharge_group_SNF / Rehab / LTC,0.3546236312580594,1.4256439854618674,0.3546236312580594
num__number_inpatient,0.2870445548067168,1.3324835807015099,0.2870445548067168
cat__discharge_group_Home + Home Health,-0.2064620179654427,0.8134571576280796,0.2064620179654427
cat__admission_type_id_5,-0.20255444652256524,0.8166420180695878,0.20255444652256524
cat__metformin_Up,-0.2004295085253978,0.81837917674745,0.2004295085253978
cat__admission_type_id_6,0.19160772019764022,1.2111952963098067,0.19160772019764022
cat__discharge_group_AMA / Other,-0.1793117750664428,0.8358452630567652,0.1793117750664428
cat__metformin_infrequent_sklearn,0.14982650315334242,1.1616326856360966,0.14982650315334242
num__on_diabetes_med,0.11509271113499607,1.1219774525532566,0.11509271113499607
num__age_mid,0.11043305686414798,1.1167615870271093,0.11043305686414798
num__prior_visits,0.10528319986365657,1.1110252079940215,0.10528319986365657
num__number_diagnoses,0.10473399354517597,1.110415193457052,0.10473399354517597
cat__race_nan,-0.09897547203562596,0.9057649243208821,0.09897547203562596
cat__metformin_No,0.08269449091286743,1.0862099108536394,0.08269449091286743
cat__race_infrequent_sklearn,-0.08019391893679856,0.9229373540017705,0.08019391893679856
cat__insulin_Up,-0.07569497382160065,0.927098952885271,0.07569497382160065
cat__race_Caucasian,0.07454446945181402,1.077393253544354,0.07454446945181402
cat__race_AfricanAmerican,0.06644802853294815,1.0687054204432973,0.06644802853294815
num__number_outpatient,-0.06620493127688731,0.9359390414541868,0.06620493127688731
cat__metformin_Steady,-0.06376319129600677,0.9382271535819758,0.06376319129600677
cat__gender_Female,-0.056863835709567184,0.9447226981048474,0.056863835709567184
num__a1c_tested,-0.043879363305801625,0.9570694081986332,0.043879363305801625
num__num_lab_procedures,0.04300660290296672,1.0439447878939927,0.04300660290296672
cat__admission_type_id_3,-0.03101547971206276,0.9694605659894558,0.03101547971206276
cat__gender_Male,0.025192129954371555,1.0255121331971635,0.025192129954371555
num__num_medications,0.025019222471302026,1.0253348298043385,0.025019222471302026
num__number_emergency,0.024977416198554165,1.0252919652727952,0.024977416198554165
cat__insulin_No,0.023276277741927722,1.023549284372406,0.023276277741927722
cat__admission_type_id_infrequent_sklearn,0.019468651823312862,1.019659401896548,0.019468651823312862
num__time_in_hospital,0.017042583248147027,1.0171886365991276,0.017042583248147027
num__a1c_high,0.01654140088172979,1.0166789673204402,0.01654140088172979
num__n_meds_changed,0.016344915887382173,1.0164792247831411,0.016344915887382173
num__num_procedures,-0.013231315837417596,0.9868558332329213,0.013231315837417596
cat__race_Other,0.011433143751941993,1.0114987519375012,0.011433143751941993
cat__insulin_Steady,0.010570827170821407,1.0106268957539695,0.010570827170821407
cat__insulin_Down,0.010176163153655673,1.0102281163805464,0.010176163153655673
cat__admission_type_id_1,-0.007825019252211593,0.9922055165113812,0.007825019252211593
num__med_changed,0.006118632840863525,1.0061373899111454,0.006118632840863525
cat__race_Hispanic,-0.004927956519474566,0.9950841659370999,0.004927956519474566
cat__admission_type_id_2,-0.0013531322893120068,0.9986477827814004,0.0013531322893120068
